Date : 2024-05-28 11:58:46
Directory : c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Scripts
Total : 1517 files,  -231848 codes, -43934 comments, -28434 blanks, all -304216 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\pca.inl                                           | C++        |       -307 |         -4 |        -33 |       -344 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\perpendicular.hpp                                 | C++        |        -16 |        -18 |         -8 |        -42 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\perpendicular.inl                                 | C++        |         -8 |         -1 |         -2 |        -11 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\polar_coordinates.hpp                             | C++        |        -19 |        -21 |         -9 |        -49 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\polar_coordinates.inl                             | C++        |        -30 |         -1 |         -6 |        -37 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\projection.hpp                                    | C++        |        -15 |        -21 |         -8 |        -44 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\projection.inl                                    | C++        |         -8 |         -1 |         -2 |        -11 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\quaternion.hpp                                    | C++        |        -78 |        -73 |        -24 |       -175 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\quaternion.inl                                    | C++        |       -128 |         -9 |        -23 |       -160 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\range.hpp                                         | C++        |        -66 |        -15 |        -18 |        -99 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\raw_data.hpp                                      | C++        |        -18 |        -23 |        -11 |        -52 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\raw_data.inl                                      | C++        |          0 |         -1 |         -2 |         -3 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\rotate_normalized_axis.hpp                        | C++        |        -25 |        -35 |         -9 |        -69 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\rotate_normalized_axis.inl                        | C++        |        -46 |         -2 |        -11 |        -59 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\rotate_vector.hpp                                 | C++        |        -63 |        -43 |        -18 |       -124 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\rotate_vector.inl                                 | C++        |       -149 |        -18 |        -21 |       -188 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\scalar_multiplication.hpp                         | C++        |        -53 |        -19 |        -11 |        -83 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\scalar_relational.hpp                             | C++        |        -13 |        -15 |         -9 |        -37 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\scalar_relational.inl                             | C++        |        -78 |         -1 |        -10 |        -89 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\spline.hpp                                        | C++        |        -35 |        -21 |        -10 |        -66 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\spline.inl                                        | C++        |        -51 |         -1 |         -9 |        -61 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\std_based_type.hpp                                | C++        |        -22 |        -32 |        -15 |        -69 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\std_based_type.inl                                | C++        |         -3 |         -1 |         -3 |         -7 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\string_cast.hpp                                   | C++        |        -20 |        -19 |         -8 |        -47 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\string_cast.inl                                   | C++        |       -427 |         -1 |        -65 |       -493 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\texture.hpp                                       | C++        |        -17 |        -21 |         -9 |        -47 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\texture.inl                                       | C++        |        -13 |         -1 |         -4 |        -18 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\transform.hpp                                     | C++        |        -24 |        -27 |        -10 |        -61 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\transform.inl                                     | C++        |        -18 |         -1 |         -5 |        -24 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\transform2.hpp                                    | C++        |        -32 |        -40 |        -18 |        -90 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\transform2.inl                                    | C++        |       -110 |         -1 |        -15 |       -126 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\type_aligned.hpp                                  | C++        |       -231 |       -468 |       -284 |       -983 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\type_aligned.inl                                  | C++        |         -3 |         -1 |         -3 |         -7 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\type_trait.hpp                                    | C++        |        -59 |        -15 |        -12 |        -86 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\type_trait.inl                                    | C++        |        -51 |         -5 |         -6 |        -62 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\vec_swizzle.hpp                                   | C++        |     -1,947 |       -350 |       -490 |     -2,787 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\vector_angle.hpp                                  | C++        |        -22 |        -26 |        -10 |        -58 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\vector_angle.inl                                  | C++        |        -37 |         -1 |         -8 |        -46 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\vector_query.hpp                                  | C++        |        -27 |        -27 |        -13 |        -67 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\vector_query.inl                                  | C++        |       -128 |         -1 |        -26 |       -155 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\wrap.hpp                                          | C++        |        -16 |        -15 |         -7 |        -38 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\gtx\wrap.inl                                          | C++        |         -3 |         -1 |         -3 |         -7 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\integer.hpp                                           | C++        |        -55 |       -139 |        -19 |       -213 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\mat2x2.hpp                                            | C++        |         -5 |         -2 |         -3 |        -10 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\mat2x3.hpp                                            | C++        |         -5 |         -2 |         -3 |        -10 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\mat2x4.hpp                                            | C++        |         -5 |         -2 |         -3 |        -10 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\mat3x2.hpp                                            | C++        |         -5 |         -2 |         -3 |        -10 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\mat3x3.hpp                                            | C++        |         -5 |         -2 |         -2 |         -9 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\mat3x4.hpp                                            | C++        |         -5 |         -2 |         -2 |         -9 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\mat4x2.hpp                                            | C++        |         -5 |         -2 |         -3 |        -10 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\mat4x3.hpp                                            | C++        |         -5 |         -2 |         -2 |         -9 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\mat4x4.hpp                                            | C++        |         -5 |         -2 |         -3 |        -10 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\matrix.hpp                                            | C++        |        -78 |        -63 |        -21 |       -162 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\packing.hpp                                           | C++        |        -20 |       -136 |        -18 |       -174 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\simd\common.h                                         | C++        |       -197 |        -11 |        -33 |       -241 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\simd\exponential.h                                    | C++        |        -12 |         -2 |         -7 |        -21 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\simd\geometric.h                                      | C++        |       -105 |         -2 |        -18 |       -125 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\simd\integer.h                                        | C++        |        -63 |        -29 |        -24 |       -116 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\simd\matrix.h                                         | C++        |       -546 |       -310 |       -173 |     -1,029 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\simd\neon.h                                           | C++        |       -144 |         -2 |        -10 |       -156 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\simd\packing.h                                        | C++        |         -3 |         -2 |         -4 |         -9 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\simd\platform.h                                       | C++        |       -352 |        -21 |        -35 |       -408 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\simd\trigonometric.h                                  | C++        |         -3 |         -2 |         -5 |        -10 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\simd\vector_relational.h                              | C++        |         -3 |         -2 |         -4 |         -9 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\trigonometric.hpp                                     | C++        |        -37 |       -153 |        -21 |       -211 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\vec2.hpp                                              | C++        |        -11 |         -2 |         -2 |        -15 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\vec3.hpp                                              | C++        |        -11 |         -2 |         -2 |        -15 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\vec4.hpp                                              | C++        |        -11 |         -2 |         -3 |        -16 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\vector_relational.hpp                                 | C++        |        -25 |        -82 |        -15 |       -122 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\manual.md                                                 | Markdown   |     -1,606 |          0 |       -845 |     -2,451 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\readme.md                                                 | Markdown   |     -1,064 |          0 |       -167 |     -1,231 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\bug\bug_ms_vec_static.cpp                            | C++        |        -23 |         -2 |         -7 |        -32 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\cmake\test_find_glm.cpp                              | C++        |        -19 |          0 |         -4 |        -23 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_cpp_constexpr.cpp                          | C++        |       -586 |          0 |       -165 |       -751 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_cpp_defaulted_ctor.cpp                     | C++        |       -118 |          0 |        -28 |       -146 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_aligned_gentypes.cpp                 | C++        |         -7 |          0 |         -4 |        -11 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_arch_unknown.cpp                     | C++        |        -10 |          0 |         -5 |        -15 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_compiler_unknown.cpp                 | C++        |        -10 |          0 |         -5 |        -15 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_ctor_init.cpp                        | C++        |       -100 |          0 |        -40 |       -140 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_cxx03.cpp                            | C++        |        -10 |          0 |         -5 |        -15 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_cxx98.cpp                            | C++        |        -10 |          0 |         -5 |        -15 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_cxx_unknown.cpp                      | C++        |        -10 |          0 |         -5 |        -15 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_depth_zero_to_one.cpp                | C++        |         -8 |          0 |         -5 |        -13 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_explicit_ctor.cpp                    | C++        |        -10 |         -1 |         -7 |        -18 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_inline.cpp                           | C++        |         -8 |          0 |         -5 |        -13 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_left_handed.cpp                      | C++        |         -8 |          0 |         -5 |        -13 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_platform_unknown.cpp                 | C++        |        -10 |          0 |         -5 |        -15 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_pure.cpp                             | C++        |       -351 |         -2 |        -82 |       -435 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_quat_xyzw.cpp                        | C++        |         -9 |          0 |         -5 |        -14 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_size_t_length.cpp                    | C++        |         -8 |          0 |         -5 |        -13 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_unrestricted_gentype.cpp             | C++        |         -8 |          0 |         -5 |        -13 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_force_xyzw_only.cpp                        | C++        |        -46 |          0 |        -13 |        -59 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_func_common.cpp                            | C++        |     -1,076 |        -12 |       -262 |     -1,350 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_func_exponential.cpp                       | C++        |       -130 |         -1 |        -55 |       -186 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_func_geometric.cpp                         | C++        |       -162 |          0 |        -39 |       -201 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_func_integer.cpp                           | C++        |     -1,231 |        -42 |       -284 |     -1,557 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_func_integer_bit_count.cpp                 | C++        |       -222 |        -15 |        -55 |       -292 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_func_integer_find_lsb.cpp                  | C++        |       -312 |        -30 |        -75 |       -417 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_func_integer_find_msb.cpp                  | C++        |       -306 |        -60 |        -75 |       -441 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_func_matrix.cpp                            | C++        |       -326 |         -3 |        -64 |       -393 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_func_noise.cpp                             | C++        |         -5 |          0 |         -3 |         -8 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_func_packing.cpp                           | C++        |       -120 |         -7 |        -30 |       -157 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_func_swizzle.cpp                           | C++        |       -121 |          0 |        -44 |       -165 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_func_trigonometric.cpp                     | C++        |         -6 |          0 |         -5 |        -11 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_func_vector_relational.cpp                 | C++        |       -143 |          0 |        -38 |       -181 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_setup_force_cxx98.cpp                      | C++        |        -10 |          0 |         -3 |        -13 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_setup_force_size_t_length.cpp              | C++        |        -18 |          0 |         -5 |        -23 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_setup_message.cpp                          | C++        |       -209 |          0 |        -22 |       -231 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_setup_platform_unknown.cpp                 | C++        |        -19 |          0 |         -3 |        -22 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_setup_precision.cpp                        | C++        |        -45 |          0 |        -14 |        -59 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_aligned.cpp                           | C++        |        -72 |          0 |        -21 |        -93 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_cast.cpp                              | C++        |       -110 |          0 |        -37 |       -147 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_ctor.cpp                              | C++        |       -278 |          0 |        -74 |       -352 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_int.cpp                               | C++        |        -19 |          0 |         -8 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_length.cpp                            | C++        |        -60 |          0 |        -19 |        -79 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_mat2x2.cpp                            | C++        |       -143 |          0 |        -35 |       -178 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_mat2x3.cpp                            | C++        |       -116 |          0 |        -27 |       -143 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_mat2x4.cpp                            | C++        |       -118 |          0 |        -30 |       -148 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_mat3x2.cpp                            | C++        |       -120 |          0 |        -29 |       -149 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_mat3x3.cpp                            | C++        |       -161 |          0 |        -37 |       -198 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_mat3x4.cpp                            | C++        |       -122 |          0 |        -28 |       -150 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_mat4x2.cpp                            | C++        |       -124 |          0 |        -28 |       -152 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_mat4x3.cpp                            | C++        |       -124 |          0 |        -29 |       -153 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_mat4x4.cpp                            | C++        |       -164 |         -4 |        -51 |       -219 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_vec1.cpp                              | C++        |       -113 |        -24 |        -33 |       -170 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_vec2.cpp                              | C++        |       -312 |         -3 |        -78 |       -393 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_vec3.cpp                              | C++        |       -478 |        -27 |       -124 |       -629 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\core\core_type_vec4.cpp                              | C++        |       -613 |        -66 |       -173 |       -852 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_clip_space.cpp                        | C++        |        -11 |          0 |         -3 |        -14 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_common.cpp                            | C++        |       -213 |         -9 |        -15 |       -237 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_int2x2_sized.cpp                      | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_int2x3_sized.cpp                      | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_int2x4_sized.cpp                      | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_int3x2_sized.cpp                      | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_int3x3_sized.cpp                      | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_int3x4_sized.cpp                      | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_int4x2_sized.cpp                      | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_int4x3_sized.cpp                      | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_int4x4_sized.cpp                      | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_integer.cpp                           | C++        |       -200 |          0 |        -38 |       -238 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_projection.cpp                        | C++        |        -11 |          0 |         -3 |        -14 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_relational.cpp                        | C++        |       -129 |          0 |        -35 |       -164 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_transform.cpp                         | C++        |        -46 |          0 |        -16 |        -62 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_uint2x2_sized.cpp                     | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_uint2x3_sized.cpp                     | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_uint2x4_sized.cpp                     | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_uint3x2_sized.cpp                     | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_uint3x3_sized.cpp                     | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_uint3x4_sized.cpp                     | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_uint4x2_sized.cpp                     | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_uint4x3_sized.cpp                     | C++        |        -21 |          0 |         -8 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\test\ext\ext_matrix_uint4x4_sized.cpp                     | C++        |        -21 |          0 |         -8 |        -29 |
